ID,Charactor,cantonesePhonetic
1,阿,aa2
2,阿,aa3
3,阿,aak3
4,阿,o1
5,啊,aa1
6,啊,aa3
7,啊,aa4
8,锕,aa3
9,嗄,aa2
10,嗄,saa3
11,哎,aai1
12,哎,ai3
13,哀,oi1
14,唉,aai1
15,唉,oi1
16,埃,aai1
17,埃,oi1
18,挨,aai1
19,欸,aai2
20,欸,ei6
21,欸,oi1
22,啀,ngaai4
23,捱,ngaai4
24,皑,ji4
25,皑,ngoi2
26,皑,ngoi4
27,癌,ngaam4
28,毐,oi2
29,嗳,oi2
30,矮,aai2
31,矮,ai2
32,蔼,oi2
33,霭,oi2
34,艾,ngaai6
35,爱,oi3
36,隘,aai3
37,嗌,aai3
38,嗌,jik1
39,嫒,oi3
40,碍,ngoi6
41,叆,oi2
42,暧,oi2
43,暧,oi3
44,瑷,ngoi3
45,瑷,oi3
46,僾,oi3
47,壒,oi2
48,薆,oi3
49,餲,aai3
50,餲,aat3
51,譺,jik6
52,鑀,oi3
53,安,on1
54,桉,on3
55,氨,ngoi1
56,氨,on1
57,庵,am1
58,谙,am1
59,谙,am2
60,媕,am1
61,腤,am3
62,腤,ngam3
63,鹌,am1
64,鞍,on1
65,盦,am1
66,闇,am2
67,韽,am1
68,韽,ngam1
69,啽,ngam4
70,俺,jim3
71,唵,am2
72,埯,am1
73,铵,ngon1
74,铵,on1
75,晻,am2
76,犴,hon4
77,犴,hon6
78,犴,ngon6
79,岸,ngon6
80,按,on3
81,案,on3
82,胺,ngon1
83,胺,on1
84,豻,hon6
85,豻,ngon6
86,暗,am3
87,黯,am2
88,肮,hong4
89,骯,ngong1
90,骯,ong1
91,昂,ngong4
92,昂,ngong5
93,盎,on1
94,盎,ong3
95,醠,ong3
96,凹,waa1
97,凹,aau1
98,凹,aau3
99,凹,lap1
100,凹,nap1
101,坳,aau1
102,坳,aau3
103,爊,ngou4
104,爊,ou1
105,敖,ngou4
106,敖,ngou6
107,隞,ngou4
108,嗷,ngou4
109,廒,ngou4
110,滶,ngou4
111,獒,ngou4
112,遨,ngou4
113,遨,ngou6
114,摮,ngou4
115,熬,ngou4
116,璈,ngou4
117,磝,ngou4
118,翱,ngou4
119,聱,ngou4
120,螯,ngou4
121,謷,ngou4
122,鳌,ngou4
123,鏖,ngou4
124,鏖,ou1
125,芺,ngou3
126,芺,ou3
127,拗,aau2
128,拗,aau3
129,拗,ngaau3
130,袄,ou2
131,袄,ou3
132,媪,ou2
133,镺,ou2
134,岙,ngou3
135,岙,ou3
136,傲,ngou6
137,奡,ngou6
138,奥,ou3
139,骜,ngou4
140,墺,ou3
141,澳,ou3
142,澳,juk1
143,懊,ou3
144,擙,ngou1
145,鏊,ngou4
146,鏊,ngou6
147,八,baat3
148,巴,baa1
149,叭,baa1
150,扒,paa1
151,扒,paa4
152,朳,paa4
153,吧,baa1
154,吧,baa6
155,芭,baa1
156,疤,baa1
157,捌,baat3
158,笆,baa1
159,粑,baa1
